Timestamp,Alert
2025-10-13T23:19:08.010274,Ship 101 | User admin had 3 failed logins!
2025-10-13T23:19:09.644516,Ship 103 | User admin had 3 failed logins!
2025-10-13T23:19:11.253345,Ship 103 | User admin had 4 failed logins!
2025-10-13T23:19:12.889802,Ship 101 GPS anomaly detected!
2025-10-13T23:19:15.167042,Ship 102 GPS anomaly detected!
2025-10-13T23:21:02.596487,Ship 101 | User admin had 3 failed logins!
2025-10-13T23:21:05.011590,Ship 103 | User admin had 3 failed logins!
2025-10-13T23:21:07.370053,Ship 103 | User admin had 4 failed logins!
2025-10-13T23:21:11.133911,Ship 102 GPS anomaly detected!
2025-10-13T23:21:15.814080,Ship 103 GPS anomaly detected!
2025-10-13T23:21:31.186317,Ship 101 | User admin had 3 failed logins!
2025-10-13T23:21:33.865655,Ship 103 | User admin had 3 failed logins!
2025-10-13T23:21:36.334819,Ship 103 | User admin had 4 failed logins!
2025-10-13T23:21:38.739667,Ship 101 GPS anomaly detected!
2025-10-13T23:21:40.609064,Ship 102 GPS anomaly detected!
2025-10-13T23:26:30.365257,Ship 101 | User admin had 3 failed logins!
2025-10-13T23:26:33.225575,Ship 103 | User admin had 3 failed logins!
2025-10-13T23:26:35.473217,Ship 103 | User admin had 4 failed logins!
2025-10-13T23:26:37.084410,Ship 101 GPS anomaly detected!
2025-10-13T23:26:39.323030,Ship 103 GPS anomaly detected!
2025-10-13T23:26:51.634572,Ship 101 | User admin had 3 failed logins!
2025-10-13T23:26:53.280479,Ship 103 | User admin had 3 failed logins!
2025-10-13T23:26:55.583213,Ship 103 | User admin had 4 failed logins!
2025-10-13T23:26:57.451454,Ship 102 GPS anomaly detected!
2025-10-13T23:26:59.722563,Ship 103 GPS anomaly detected!
2025-10-13T23:27:01.747943,Ship 101 | User admin had 3 failed logins!
2025-10-13T23:27:03.428712,Ship 103 | User admin had 3 failed logins!
2025-10-13T23:27:05.732111,Ship 103 | User admin had 4 failed logins!
2025-10-13T23:27:07.363427,Ship 101 GPS anomaly detected!
2025-10-13T23:27:09.006455,Ship 102 GPS anomaly detected!
2025-10-13T23:27:11.338602,Ship 103 GPS anomaly detected!
2025-10-14T08:52:30.228857,Ship 101 | User admin had 3 failed logins!
2025-10-14T08:52:50.546230,Ship 103 | User admin had 3 failed logins!
2025-10-14T08:52:58.482726,Ship 103 | User admin had 4 failed logins!
2025-10-14T08:53:01.252950,Ship 101 GPS anomaly detected!
2025-10-14T08:53:04.830166,Ship 102 GPS anomaly detected!
2025-10-14T08:55:56.714733,Ship 101 | User admin had 3 failed logins!
2025-10-14T08:56:00.367336,Ship 103 | User admin had 3 failed logins!
2025-10-14T08:56:02.336611,Ship 103 | User admin had 4 failed logins!
2025-10-14T08:56:05.955943,Ship 102 GPS anomaly detected!
2025-10-14T08:56:08.865720,Ship 103 GPS anomaly detected!
2025-10-14T08:58:35.226760,Ship 101 | User admin had 3 failed logins!
2025-10-14T08:58:36.826910,Ship 103 | User admin had 3 failed logins!
2025-10-14T08:58:38.426579,Ship 103 | User admin had 4 failed logins!
2025-10-14T08:58:40.041350,Ship 102 GPS anomaly detected!
2025-10-14T08:58:41.604802,Ship 103 GPS anomaly detected!
2025-10-14T10:08:24.175049,Ship 101 | User admin had 3 failed logins!
2025-10-14T10:08:25.971547,Ship 103 | User admin had 3 failed logins!
2025-10-14T10:08:28.326250,Ship 103 | User admin had 4 failed logins!
2025-10-14T10:08:30.284997,Ship 101 GPS anomaly detected!
2025-10-14T10:08:32.079265,Ship 102 GPS anomaly detected!
2025-10-14T10:08:33.697370,Ship 103 GPS anomaly detected!
2025-10-15T14:51:54.886860,Ship 101 | User admin had 3 failed logins!
2025-10-15T14:52:05.546687,Ship 103 | User admin had 3 failed logins!
2025-10-15T14:52:11.867695,Ship 103 | User admin had 4 failed logins!
2025-10-15T14:52:14.270057,Ship 101 GPS anomaly detected!
2025-10-15T14:52:16.118365,Ship 102 GPS anomaly detected!
2025-10-15T14:52:19.983883,Ship 103 GPS anomaly detected!
2025-10-15T14:53:54.958659,Ship 101 | User admin had 3 failed logins!
2025-10-15T14:53:56.270072,Ship 101 | User admin had 3 failed logins!
2025-10-15T14:53:56.462337,Ship 101 | User admin had 3 failed logins!
2025-10-15T14:53:59.210458,Ship 103 | User admin had 3 failed logins!
2025-10-15T14:54:02.624339,Ship 103 | User admin had 4 failed logins!
2025-10-15T15:19:03.929489,Ship 101 | User admin had 3 failed logins!
2025-10-15T15:19:05.728676,Ship 103 | User admin had 3 failed logins!
2025-10-15T15:19:07.385529,Ship 103 | User admin had 4 failed logins!
2025-10-15T15:19:09.812484,Ship 101 GPS anomaly detected!
2025-10-15T15:19:11.525211,Ship 102 GPS anomaly detected!
2025-10-15T15:19:13.178963,Ship 103 GPS anomaly detected!
2025-10-30T13:12:46.051363,Ship 101 | User admin had 3 failed logins!
2025-10-30T13:13:00.385843,Ship 103 | User admin had 3 failed logins!
2025-10-30T13:13:10.922075,Ship 103 | User admin had 4 failed logins!
2025-10-30T13:13:24.941339,Ship 101 GPS anomaly detected!
2025-10-30T13:13:37.427074,Ship 102 GPS anomaly detected!
2025-10-30T13:13:55.746560,Ship 103 GPS anomaly detected!
2025-10-30T13:19:09.517842,Ship 101 | User admin had 3 failed logins!
2025-10-30T13:19:19.812561,Ship 103 | User admin had 3 failed logins!
2025-10-30T13:19:40.857893,Ship 103 | User admin had 4 failed logins!
2025-10-30T13:19:55.599070,Ship 103 GPS anomaly detected!
2025-11-17T20:33:30.769635,GPS Spoofing detected for Ship 102
2025-11-17T20:38:11.583278,Ship 101 GPS anomaly detected!
2025-11-17T20:38:13.227288,Ship 102 GPS anomaly detected!
2025-11-17T20:38:24.933612,Ship 101 GPS anomaly detected!
2025-11-17T20:38:26.557494,Ship 102 GPS anomaly detected!
2025-11-17T20:47:54.776631,Ship 102 GPS anomaly detected!
2025-11-17T20:47:56.510448,Ship 103 GPS anomaly detected!
2025-11-17T20:51:27.396702,Ship 101 GPS anomaly detected!
2025-11-17T20:51:29.725110,Ship 102 GPS anomaly detected!
